Model,GridType,GridSize,MinTime,MedianTime,MeanTime,MaxTime,Memory,Allocs,NumSamples
Hydrostatic,RectilinearGrid,32,1.30135e6,1.339939e6,1.746216091e8,1.733335687e9,1289056,3929,10
Hydrostatic,RectilinearGrid,64,1.462048e6,1.4899125e6,1.6299368e6,2.594979e6,1289168,3936,10
Hydrostatic,RectilinearGrid,128,1.674916e6,1.692006e6,1.8055742e6,2.844587e6,1289232,3940,10
Hydrostatic,RectilinearGrid,256,7.825546e6,7.834051e6,7.9025463e6,8.53824e6,1289392,3949,10
Hydrostatic,RectilinearGrid,512,5.2989712e7,5.327587e7,5.32708891e7,5.3537778e7,1290608,4066,10
Nonhydrostatic,RectilinearGrid,32,967394.0,974863.5,1.0765956e6,1.963397e6,675384,2220,10
Nonhydrostatic,RectilinearGrid,64,1.34121e6,1.350036e6,1.4425058e6,2.238814e6,675384,2220,10
Nonhydrostatic,RectilinearGrid,128,5.975327e6,5.986688e6,6.1840253e6,7.963204e6,679480,2476,10
Nonhydrostatic,RectilinearGrid,256,4.6683439e7,4.6727098e7,4.67564289e7,4.6904667e7,679464,2475,10
Nonhydrostatic,RectilinearGrid,512,3.72229539e8,3.722953735e8,3.722889602e8,3.72353628e8,680808,2559,10
