Model,GridType,GridSize,MinTime,MedianTime,MeanTime,MaxTime,Memory,Allocs,NumSamples
Hydrostatic,RectilinearGrid,32,1.230793e6,1.269387e6,1.4071856e6,2.270869e6,1289056,3929,10
Hydrostatic,RectilinearGrid,64,1.280735e6,1.3056215e6,1.4168272e6,2.260505e6,1289168,3936,10
Hydrostatic,RectilinearGrid,128,1.42568e6,1.4503715e6,1.5769855e6,2.59065e6,1290192,3944,10
Hydrostatic,RectilinearGrid,256,4.376811e6,4.3896575e6,4.4436555e6,4.950431e6,1289360,3948,10
Hydrostatic,RectilinearGrid,512,2.8203654e7,2.8404656e7,2.8430879e7,2.8951368e7,1290608,4066,10
Nonhydrostatic,RectilinearGrid,32,679395.0,697561.5,807658.7,1.701882e6,675368,2219,10
Nonhydrostatic,RectilinearGrid,64,909426.0,925030.5,1.0164387e6,1.712597e6,675384,2220,10
Nonhydrostatic,RectilinearGrid,128,3.268027e6,3.372276e6,3.483061e6,4.218676e6,677464,2350,10
Nonhydrostatic,RectilinearGrid,256,2.4203091e7,2.4223029e7,2.42347729e7,2.4317973e7,679464,2475,10
Nonhydrostatic,RectilinearGrid,512,1.92400644e8,1.926379515e8,1.926489699e8,1.92855448e8,680808,2559,10
